load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
8.010,22.458,0.080
8.090,14.574,0.087
8.090,22.272,0.076
8.160,38.175,15.378
8.160,21.840,0.084
8.160,22.826,0.078
8.310,22.358,0.118
8.310,24.506,0.080
8.360,29.713,7.363
8.360,14.498,0.081
8.410,22.273,0.116
8.410,14.990,0.079
8.410,22.393,0.083
8.460,22.717,0.102
8.460,30.366,7.353
8.500,22.760,0.083
8.500,16.510,0.141
7.900,0.953,0.071
7.900,0.951,0.067
7.900,0.971,0.068
7.350,0.959,0.071
7.350,0.969,0.069
6.840,0.976,0.071
6.840,0.961,0.065
6.840,0.948,0.067
6.370,0.987,0.069
6.370,0.950,0.066
5.940,0.952,0.069
5.940,0.958,0.067
5.550,0.961,0.070
5.550,0.973,0.071
5.550,1.002,0.066
5.180,0.969,0.068
5.180,0.948,0.059
4.850,0.971,0.077
4.850,0.966,0.061
4.850,0.941,0.062
4.540,0.910,0.064
4.540,0.928,0.060
4.260,0.953,0.059
4.260,0.954,0.058
4.260,0.949,0.057
3.990,0.955,0.057
3.990,0.957,0.060
3.750,0.881,0.058
3.750,0.930,0.061
3.610,0.963,0.060
3.610,0.941,0.069
3.610,0.961,0.068
3.400,0.914,0.068
3.400,0.961,0.070
3.210,1.178,0.074
3.210,0.969,0.065
3.210,0.958,0.069
3.030,0.992,0.070
3.030,0.913,0.069
2.870,0.891,0.067
2.870,0.906,0.066
2.870,0.901,0.067
2.720,0.918,0.067
2.720,0.945,0.065
2.580,0.954,0.067
2.580,0.954,0.068
2.460,0.942,0.067
2.460,0.950,0.069
2.460,0.975,0.068
2.340,0.967,0.070
2.340,0.846,0.062
2.230,0.949,0.060
2.230,0.939,0.059
2.230,0.970,0.060
2.130,0.945,0.060
2.130,0.949,0.060
2.040,0.834,0.061
2.040,0.938,0.059
2.040,0.953,0.060
1.960,0.963,0.061
1.960,0.786,0.069
1.880,0.959,0.060
1.880,0.964,0.065
1.810,1.041,0.062
1.810,0.942,0.060
1.810,0.941,0.063
1.750,0.945,0.059
1.750,0.890,0.069
1.690,0.965,0.069
1.690,0.977,0.069
1.690,0.717,0.067
1.630,0.755,0.067
1.630,0.959,0.066
1.580,0.946,0.064
1.580,0.958,0.065
1.580,0.970,0.066
1.530,0.960,0.067
1.530,0.923,0.066
1.490,0.934,0.067
1.490,1.020,0.067
1.450,0.947,0.065
1.450,0.982,0.068
1.450,1.124,0.113
1.490,1.317,0.075
1.490,1.082,0.074
1.540,1.225,0.072
1.540,1.164,0.074
1.540,1.130,0.073
1.570,1.151,0.077
1.570,1.171,0.076
1.610,1.156,0.074
1.610,1.153,0.075
1.610,1.199,0.069
1.720,1.101,0.067
1.720,1.239,0.068
1.740,1.177,0.067
1.740,1.157,0.064
1.760,1.055,0.064
1.760,1.111,0.064
1.760,1.112,0.066
1.780,1.163,0.065
1.780,1.152,0.066
1.800,0.955,0.065
1.800,1.129,0.067
1.800,1.122,0.064
1.820,1.213,0.066
1.820,1.210,0.068
1.830,1.206,0.068
1.830,1.167,0.065
1.830,1.276,0.066
1.840,1.177,0.078
1.840,1.179,0.074
1.860,1.118,0.066
1.860,1.148,0.068
1.870,0.974,0.065
1.870,0.970,0.073
1.870,1.115,0.067
1.880,1.191,0.066
1.880,1.137,0.068
1.970,1.131,0.066
1.970,1.163,0.068
1.970,1.108,0.065
1.970,1.166,0.067
1.970,1.166,0.077
1.970,1.103,0.075
1.970,1.179,0.077
1.980,1.132,0.074
1.980,1.113,0.072
1.980,1.114,0.074
1.980,1.098,0.075
1.980,0.835,0.068
1.980,1.024,0.064
1.980,0.904,0.066
1.980,1.036,0.076
